Commodity,Sector,Industries
"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",,

PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,,

"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",construction-materials,NAN

CERAMIC PRODUCTS.,construction-materials,NAN
GLASS AND GLASSWARE.,construction-materials,NAN

"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",,

IRON AND STEEL,metals-mining,NAN
ARTICLES OF IRON OR STEEL,metals-mining,NAN
COPPER AND ARTICLES THEREOF.,metals-mining,NAN
NICKEL AND ARTICLES THEREOF.,metals-mining,NAN
ALUMINIUM AND ARTICLES THEREOF.,metals-mining,NAN
LEAD AND ARTICLES THEREOF.,metals-mining,NAN
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,metals-mining,NAN
"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",metals-mining,NAN
"ORES, SLAG AND ASH.",metals-mining,NAN
ZINC AND ARTICLES THEREOF.,metals-mining,NAN
TIN AND ARTICLES THEREOF.,metals-mining,NAN

"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",,

"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",,

"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",NAN,railways-wagons

"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",,

"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",,

PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,,
"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",,

CLOCKS AND WATCHES AND PARTS THEREOF.,,

MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,,

"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",,

"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",,

MISCELLANEOUS MANUFACTURED ARTICLES.,miscellaneous,NAN
PROJECT GOODS; SOME SPECIAL USES.,,
MISCELLANEOUS GOODS.,miscellaneous,NAN
MISCELLANEOUS EDIBLE PREPARATIONS.,agri,NAN
MISCELLANEOUS CHEMICAL PRODUCTS.,chemicals,NAN
MISCELLANEOUS ARTICLES OF BASE METAL.,metals-mining,NAN

WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,,

EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,,
ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,,

FERTILISERS.,NAN,pesticides-agrochemicals

"SHIPS, BOATS AND FLOATING STRUCTURES.",ship-building,
