STONE PLASTER CEMENT
AMBUJACEM.NS
ULTRACEMCO.NS
ACC.NS
GREENLAM.NS
PGIL.NS
NCC.NS

CERAMIC AND GLASS
ASAHIINDIA.NS
KAJARIACER.NS
CERA.NS
BANARBEADS.NS
SOMANYCERA.NS

STONES AND JEWELLERY
TITAN.NS
RAJESHEXPO.NS
VAIBHAVGBL.NS
THANGAMAYL.NS
GOLDIAM.NS

IRON AND STEEL
JSWSTEEL.BO
TATASTEEL.NS
SAIL.NS
JSL.NS
BHARATFORG.BO

ALUMINIUM
NATIONALUM.NS
HINDALCO.BO
VEDL.NS

COPPER TIN ZINC NICKEL
HINDCOPPER.BO
HINDZINC.BO
VEDL.NS
HINDTIN.BO

REACTORES BOILERS
THERMAX.NS
FORBESCO.BO
RIGD.IL
ADANIPOWER.NS

ELECTRICAL
BOSCHLTD.NS
GODREJAGRO.BO
HAVELLS.BO
BAJAJELEC.BO

RAILWAY
TITAGARH.BO
TATAMOTORS.NS
BHEL.BO

"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",,
POLYMED.BO

CLOCKS AND WATCHES AND PARTS THEREOF.
TITAN.NS
TIMEX.BO
SONATSOFTW.NS

"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC"
CENTURYPLY.BO
GREENPLY.NS

EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,,
SOLARINDS.BO
GOCLCORP.NS

ARMS AND AMMUNITIONS
BEL.NS
ASTRAMICRO.NS

"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",,
COSCO.BO

CUTLERY SPOONS AND FORKS
TTKPRESTIG.NS
